订单号,产品类别,产品名称,销售数量,单价,客户所在城市,支付方式,订单日期
6805677496,家居用品,枕头,10,199,合肥,支付宝,2025-06-01
5857234132,食品,海苔,5,29,天津,现金,2025-06-01
5888085059,电子产品,智能音箱,5,399,福州,微信支付,2025-06-01
6823473137,食品,面包,3,29,北京,银行卡,2025-06-02
6801664364,食品,薯片,2,19,"",微信支付,2025/06/02
5897064217,图书,字帖,4,29,广州,现金,2025-06-02
6857752388,服装,袜子,7,-29,郑州,现金,2025-06-02
6898807429,服装,T恤,6,199,武汉,银行卡,2025-06-02
5875402232,电子产品,路由器,9,299,福州,银行卡,2025-06-03
5888085066,图书,字典,2,99,青岛,微信支付,2025-06-04
5808071569,食品,矿泉水,9,29,重庆,支付宝,2025-06-04
6890234923,家居用品,餐具套装,10,199,武汉,现金,2025-06-04
5891597362,电子产品,鼠标,3,89,合肥,银行卡,2025-06-04
6880065056,图书,练习册,8,39,深圳,支付宝,2025-06-04
5804178086,电子产品,蓝牙耳机,10,199,重庆,微信支付,2025-06-04
5878551159,图书,练习册,5,39,重庆,现金,2025-06-05
5812573980,食品,坚果,2,79,南京,微信支付,2025-06-05
5835623429,图书,食谱,6,49,合肥,银行卡,2025-06-05
5852698441,家居用品,蜡烛,6,49,昆明,现金,2025-06-05
5852807025,服装,毛衣,10,399,重庆,现金,2025-06-05
6893087111,食品,蜂蜜,10,89,南京,现金,2025-06-05
5871374068,图书,摄影集,5,129,青岛,银行卡,2025-06-06
5894724625,电子产品,智能手机,9,2999,郑州,微信支付,2025-06-06
6867258691,服装,围巾,8,129,青岛,微信支付,2025-06-07
5875023454,电子产品,智能手机,8,2999,天津,微信支付,2025-06-07
6837065480,服装,毛衣,3,399,深圳,微信支付,2025-06-07
5854211330,食品,果干,9,59,长沙,支付宝,2025-06-07
5840958148,服装,衬衫,6,299,苏州,银行卡,2025-06-07
6842052369,家居用品,扫把,1,39,长沙,现金,2025-06-07
5816896128,食品,咖啡,4,129,南京,现金,2025-06-08
6821256262,图书,食谱,6,49,深圳,银行卡,2025-06-08
5837205437,服装,短裤,2,149,昆明,支付宝,2025-06-08
6816687256,服装,运动裤,7,249,杭州,支付宝,2025-06-09
6867240278,服装,短裤,8,149,厦门,现金,2025-06-09
6859288203,电子产品,钢化膜,2,39,武汉,银行卡,2025-06-09
5815847468,电子产品,显示器,5,1299,福州,现金,2025-06-09
6870668206,家居用品,拖把,6,89,郑州,现金,2025-06-09
6871778377,食品,薯片,2,19,郑州,现金,2025-06-09
6896363474,图书,练习册,7,39,成都,支付宝,2025-06-09
6857955578,图书,科普书,5,59,武汉,微信支付,2025-06-10
5864587553,服装,袜子,8,29,青岛,银行卡,2025-06-11
6861733608,家居用品,衣架,2,39,上海,银行卡,2025-06-12
5848602769,食品,能量棒,1,49,福州,微信支付,2025-06-12
6896687125,食品,果汁,2,39,合肥,支付宝,2025-06-12
5809051775,电子产品,鼠标,9,89,厦门,微信支付,2025-06-13
5828073333,家居用品,水杯,2,49,长沙,现金,2025-06-13
5820473594,服装,运动裤,7,249,西安,银行卡,2025-06-13
5823379341,电子产品,笔记本电脑,1,5999,武汉,银行卡,2025-06-13
5835099410,图书,技术书籍,4,89,福州,微信支付,2025-06-14
6842655345,食品,蜂蜜,7,89,天津,支付宝,2025-06-14
6872501498,家居用品,衣架,4,39,杭州,现金,2025-06-14
6803742747,电子产品,麦克风,2,299,郑州,微信支付,2025-06-14
5835714436,服装,围巾,2,129,天津,现金,2025-06-14
6807804795,电子产品,钢化膜,9,39,天津,支付宝,2025-06-14
6872340030,家居用品,衣架,5,39,福州,支付宝,2025-06-15
6840254213,食品,矿泉水,10,29,天津,微信支付,2025-06-15
5870793859,食品,饼干,6,39,合肥,银行卡,2025-06-15
5876880041,服装,运动裤,2,249,青岛,现金,2025-06-16
6885078432,家居用品,沙发,7,3999,武汉,微信支付,2025-06-16
5805524413,食品,牛奶,5,69,上海,支付宝,2025-06-16
6802066319,服装,睡衣,4,199,苏州,现金,2025-06-16
5876009437,食品,肉脯,7,69,北京,微信支付,2025-06-17
6857386517,食品,海苔,4,29,宁波,现金,2025-06-17
6893849823,电子产品,键盘,3,199,深圳,现金,2025-06-17
6818686763,家居用品,餐具套装,6,199,北京,银行卡,2025-06-18
6818771197,服装,羽绒服,4,899,合肥,微信支付,2025-06-18
6803345146,电子产品,智能音箱,10,399,重庆,微信支付,2025-06-18
6857671635,电子产品,手机壳,1,49,昆明,现金,2025-06-18
6888558142,服装,手套,5,59,昆明,微信支付,2025-06-18
5802859418,家居用品,洗衣液,2,49,宁波,支付宝,2025-06-18
5857892499,食品,巧克力,6,59,合肥,微信支付,2025-06-19
6881307037,服装,外套,6,599,长沙,支付宝,2025-06-19
6882472708,食品,零食大礼包,5,89,福州,微信支付,2025-06-19
6896836654,家居用品,窗帘,1,399,厦门,支付宝,2025-06-19
6807517971,电子产品,无线耳机,1,299,青岛,现金,2025-06-19
6868450800,图书,绘本,9,59,苏州,现金,2025-06-19
5835168341,服装,围巾,5,129,南京,支付宝,2025-06-20
6862213600,电子产品,手机壳,9,49,武汉,微信支付,2025-06-20
