订单号,产品类别,产品名称,销售数量,单价,销售额
6805677496,家居用品,枕头,10,199,1990
5857234132,食品,海苔,5,29,145
5888085059,电子产品,智能音箱,5,399,1995
6823473137,食品,面包,3,29,87
6801664364,食品,薯片,2,19,38
5897064217,图书,字帖,4,29,116
6857752388,服装,袜子,7,-29,-203
6898807429,服装,T恤,6,199,1194
5875402232,电子产品,路由器,9,299,2691
5888085066,图书,字典,2,99,198
5808071569,食品,矿泉水,9,29,261
6890234923,家居用品,餐具套装,10,199,1990
5891597362,电子产品,鼠标,3,89,267
6880065056,图书,练习册,8,39,312
5804178086,电子产品,蓝牙耳机,10,199,1990
5878551159,图书,练习册,5,39,195
5812573980,食品,坚果,2,79,158
5835623429,图书,食谱,6,49,294
5852698441,家居用品,蜡烛,6,49,294
5852807025,服装,毛衣,10,399,3990
6893087111,食品,蜂蜜,10,89,890
5871374068,图书,摄影集,5,129,645
5894724625,电子产品,智能手机,9,2999,26991
6867258691,服装,围巾,8,129,1032
5875023454,电子产品,智能手机,8,2999,23992
6837065480,服装,毛衣,3,399,1197
5854211330,食品,果干,9,59,531
5840958148,服装,衬衫,6,299,1794
6842052369,家居用品,扫把,1,39,39
5816896128,食品,咖啡,4,129,516
6821256262,图书,食谱,6,49,294
5837205437,服装,短裤,2,149,298
6816687256,服装,运动裤,7,249,1743
6867240278,服装,短裤,8,149,1192
6859288203,电子产品,钢化膜,2,39,78
5815847468,电子产品,显示器,5,1299,6495
6870668206,家居用品,拖把,6,89,534
6871778377,食品,薯片,2,19,38
6896363474,图书,练习册,7,39,273
6857955578,图书,科普书,5,59,295
5864587553,服装,袜子,8,29,232
6861733608,家居用品,衣架,2,39,78
5848602769,食品,能量棒,1,49,49
6896687125,食品,果汁,2,39,78
5809051775,电子产品,鼠标,9,89,801
5828073333,家居用品,水杯,2,49,98
5820473594,服装,运动裤,7,249,1743
5823379341,电子产品,笔记本电脑,1,5999,5999
5835099410,图书,技术书籍,4,89,356
6842655345,食品,蜂蜜,7,89,623
6872501498,家居用品,衣架,4,39,156
6803742747,电子产品,麦克风,2,299,598
5835714436,服装,围巾,2,129,258
6807804795,电子产品,钢化膜,9,39,351
6872340030,家居用品,衣架,5,39,195
6840254213,食品,矿泉水,10,29,290
5870793859,食品,饼干,6,39,234
5876880041,服装,运动裤,2,249,498
6885078432,家居用品,沙发,7,3999,27993
5805524413,食品,牛奶,5,69,345
6802066319,服装,睡衣,4,199,796
5876009437,食品,肉脯,7,69,483
6857386517,食品,海苔,4,29,116
6893849823,电子产品,键盘,3,199,597
6818686763,家居用品,餐具套装,6,199,1194
6818771197,服装,羽绒服,4,899,3596
6803345146,电子产品,智能音箱,10,399,3990
6857671635,电子产品,手机壳,1,49,49
6888558142,服装,手套,5,59,295
5802859418,家居用品,洗衣液,2,49,98
5857892499,食品,巧克力,6,59,354
6881307037,服装,外套,6,599,3594
6882472708,食品,零食大礼包,5,89,445
6896836654,家居用品,窗帘,1,399,399
6807517971,电子产品,无线耳机,1,299,299
6868450800,图书,绘本,9,59,531
5835168341,服装,围巾,5,129,645
6862213600,电子产品,手机壳,9,49,441
5817942253,家居用品,毛巾,9,49,441
6838419156,服装,T恤,1,199,199
6832672046,服装,卫衣,2,349,698
6882641183,食品,坚果,1,79,79
5882040279,图书,练习册,3,39,117
5856960206,食品,能量棒,3,49,147
6835930946,服装,休闲裤,2,299,598
6884401422,图书,笔记本,9,49,441
6817646898,家居用品,衣架,8,39,312
5824138220,图书,日历,3,39,117
5810483850,家居用品,床垫,5,5999,29995
6874228092,电子产品,无线耳机,1,299,299
5825937662,电子产品,钢化膜,6,39,234
6899540878,家居用品,床垫,4,5999,23996
6815202927,家居用品,地毯,8,299,2392
5803850839,电子产品,键盘,6,199,1194
6850947020,家居用品,纸巾,5,39,195
5840069589,图书,画册,3,99,297
6882159173,食品,蜂蜜,7,89,623
6847661479,食品,薯片,8,19,152
5848428039,食品,茶叶,10,199,1990
6868231493,食品,薯片,5,19,95
5832758970,服装,风衣,8,699,5592
6899145716,图书,杂志,8,29,232
6893625569,服装,围巾,8,129,1032
5863393961,电子产品,游戏手柄,2,249,498
6827358966,图书,字典,6,99,594
5878543628,家居用品,洗洁精,10,29,290
5824298537,服装,卫衣,8,349,2792
6868959743,图书,笔记本,4,49,196
6826045080,服装,睡衣,3,199,597
5855176585,图书,科普书,5,59,295
6856521224,服装,风衣,6,699,4194
5838735887,图书,画册,7,99,693
5863809863,家居用品,垃圾桶,2,59,118
5818261249,食品,茶叶,6,199,1194
5845257567,图书,绘本,9,59,531
6876712100,家居用品,衣架,1,39,39
5854511595,食品,零食大礼包,2,89,178
5894610701,家居用品,拖把,2,89,178
6865301539,食品,零食大礼包,4,89,356
5862128107,家居用品,沙发,3,3999,11997
6885746519,电子产品,游戏手柄,4,249,996
6892321515,食品,坚果,10,79,790
5883797573,食品,麦片,7,49,343
5818113431,家居用品,床垫,8,5999,47992
6883278187,家居用品,垃圾桶,1,59,59
6818053882,食品,牛奶,4,69,276
5891955361,电子产品,钢化膜,5,39,195
5883983174,家居用品,窗帘,10,399,3990
5866054840,图书,字典,10,99,990
5821394002,家居用品,收纳盒,1,79,79
5839652877,图书,漫画,5,39,195
5866179578,电子产品,笔记本电脑,2,5999,11998
6860644623,电子产品,存储卡,1,129,129
5817207922,服装,连衣裙,7,499,3493
6826538206,电子产品,麦克风,7,299,2093
6861726538,家居用品,地毯,10,299,2990
6873808416,家居用品,沙发,8,3999,31992
5813233987,食品,方便面,5,49,245
5853556066,家居用品,纸巾,8,39,312
6879411860,家居用品,沙发,6,3999,23994
5831376701,食品,薯片,2,19,38
5879174422,图书,散文集,6,59,354
5823360689,电子产品,智能手机,7,2999,20993
5883051305,电子产品,智能手机,10,2999,29990
6832294234,食品,咖啡,2,129,258
6871931711,家居用品,衣架,10,39,390
6856378469,服装,半身裙,8,299,2392
5800194073,服装,毛衣,6,399,2394
5800449605,家居用品,洗洁精,8,29,232
5846265329,家居用品,床垫,3,5999,17997
5867938109,电子产品,键盘,2,199,398
5893341133,食品,糖果,7,39,273
6875304597,食品,能量棒,8,49,392
6835056691,服装,袜子,3,29,87
5854493676,服装,牛仔裤,2,399,798
6862563518,服装,西装裤,7,449,3143
6811607405,食品,饼干,6,39,234
6869448173,食品,巧克力,3,59,177
5848997046,图书,散文集,8,59,472
5811798968,服装,内衣,5,89,445
6821795644,食品,咖啡,8,129,1032
5864529489,图书,旅游指南,2,69,138
6855377041,图书,日历,5,39,195
5830456448,家居用品,窗帘,3,399,1197
6871381333,电子产品,路由器,4,299,1196
6888789224,服装,手套,7,59,413
5801646266,食品,零食大礼包,4,89,356
5874099485,家居用品,香薰,7,99,693
5843813257,家居用品,沙发,1,3999,3999
5843474151,服装,西装裤,1,449,449
5819162283,家居用品,窗帘,2,399,798
